country,iso_code,year,resource,metric,value,unit,source,region
Algeria,DZA,1965,Oil,Consumption,15.405,EJ,OWID,
Algeria,DZA,1966,Oil,Consumption,20.273,EJ,OWID,
Algeria,DZA,1967,Oil,Consumption,18.942,EJ,OWID,
Algeria,DZA,1968,Oil,Consumption,20.167,EJ,OWID,
Algeria,DZA,1969,Oil,Consumption,21.306,EJ,OWID,
Algeria,DZA,1970,Oil,Consumption,24.348,EJ,OWID,
Algeria,DZA,1971,Oil,Consumption,27.44,EJ,OWID,
Algeria,DZA,1972,Oil,Consumption,30.121,EJ,OWID,
Algeria,DZA,1973,Oil,Consumption,32.9,EJ,OWID,
Algeria,DZA,1974,Oil,Consumption,36.544,EJ,OWID,
Algeria,DZA,1975,Oil,Consumption,40.631,EJ,OWID,
Algeria,DZA,1976,Oil,Consumption,46.718,EJ,OWID,
Algeria,DZA,1977,Oil,Consumption,52.806,EJ,OWID,
Algeria,DZA,1978,Oil,Consumption,54.608,EJ,OWID,
Algeria,DZA,1979,Oil,Consumption,65.319,EJ,OWID,
Algeria,DZA,1980,Oil,Consumption,66.202,EJ,OWID,
Algeria,DZA,1981,Oil,Consumption,71.323,EJ,OWID,
Algeria,DZA,1982,Oil,Consumption,75.573,EJ,OWID,
Algeria,DZA,1983,Oil,Consumption,84.892,EJ,OWID,
Algeria,DZA,1984,Oil,Consumption,94.002,EJ,OWID,
Algeria,DZA,1985,Oil,Consumption,96.554,EJ,OWID,
Algeria,DZA,1986,Oil,Consumption,98.021,EJ,OWID,
Algeria,DZA,1987,Oil,Consumption,99.101,EJ,OWID,
Algeria,DZA,1988,Oil,Consumption,99.173,EJ,OWID,
Algeria,DZA,1989,Oil,Consumption,103.937,EJ,OWID,
Algeria,DZA,1990,Oil,Consumption,111.812,EJ,OWID,
Algeria,DZA,1991,Oil,Consumption,110.628,EJ,OWID,
Algeria,DZA,1992,Oil,Consumption,111.293,EJ,OWID,
Algeria,DZA,1993,Oil,Consumption,110.755,EJ,OWID,
Algeria,DZA,1994,Oil,Consumption,106.051,EJ,OWID,
Algeria,DZA,1995,Oil,Consumption,103.142,EJ,OWID,
Algeria,DZA,1996,Oil,Consumption,98.422,EJ,OWID,
Algeria,DZA,1997,Oil,Consumption,97.643,EJ,OWID,
Algeria,DZA,1998,Oil,Consumption,100.659,EJ,OWID,
Algeria,DZA,1999,Oil,Consumption,98.898,EJ,OWID,
Algeria,DZA,2000,Oil,Consumption,103.132,EJ,OWID,
Algeria,DZA,2001,Oil,Consumption,106.775,EJ,OWID,
Algeria,DZA,2002,Oil,Consumption,118.397,EJ,OWID,
Algeria,DZA,2003,Oil,Consumption,123.174,EJ,OWID,
Algeria,DZA,2004,Oil,Consumption,128.747,EJ,OWID,
Algeria,DZA,2005,Oil,Consumption,134.213,EJ,OWID,
Algeria,DZA,2006,Oil,Consumption,139.846,EJ,OWID,
Algeria,DZA,2007,Oil,Consumption,156.39,EJ,OWID,
Algeria,DZA,2008,Oil,Consumption,169.916,EJ,OWID,
Algeria,DZA,2009,Oil,Consumption,180.134,EJ,OWID,
Algeria,DZA,2010,Oil,Consumption,181.612,EJ,OWID,
Algeria,DZA,2011,Oil,Consumption,192.228,EJ,OWID,
Algeria,DZA,2012,Oil,Consumption,204.395,EJ,OWID,
Algeria,DZA,2013,Oil,Consumption,213.576,EJ,OWID,
Algeria,DZA,2014,Oil,Consumption,221.925,EJ,OWID,
Algeria,DZA,2015,Oil,Consumption,236.148,EJ,OWID,
Algeria,DZA,2016,Oil,Consumption,229.564,EJ,OWID,
Algeria,DZA,2017,Oil,Consumption,225.512,EJ,OWID,
Algeria,DZA,2018,Oil,Consumption,227.786,EJ,OWID,
Algeria,DZA,2019,Oil,Consumption,236.951,EJ,OWID,
Algeria,DZA,2020,Oil,Consumption,211.925,EJ,OWID,
Algeria,DZA,2021,Oil,Consumption,221.204,EJ,OWID,
Algeria,DZA,2022,Oil,Consumption,226.91,EJ,OWID,
Algeria,DZA,2023,Oil,Consumption,238.203,EJ,OWID,
Algeria,DZA,2024,Oil,Consumption,250.971,EJ,OWID,
Argentina,ARG,1965,Oil,Consumption,275.216,EJ,OWID,
Argentina,ARG,1966,Oil,Consumption,283.876,EJ,OWID,
Argentina,ARG,1967,Oil,Consumption,290.735,EJ,OWID,
Argentina,ARG,1968,Oil,Consumption,296.797,EJ,OWID,
Argentina,ARG,1969,Oil,Consumption,308.011,EJ,OWID,
Argentina,ARG,1970,Oil,Consumption,278.435,EJ,OWID,
Argentina,ARG,1971,Oil,Consumption,296.501,EJ,OWID,
Argentina,ARG,1972,Oil,Consumption,295.186,EJ,OWID,
Argentina,ARG,1973,Oil,Consumption,297.199,EJ,OWID,
Argentina,ARG,1974,Oil,Consumption,297.124,EJ,OWID,
Argentina,ARG,1975,Oil,Consumption,280.828,EJ,OWID,
Argentina,ARG,1976,Oil,Consumption,290.235,EJ,OWID,
Argentina,ARG,1977,Oil,Consumption,305.658,EJ,OWID,
Argentina,ARG,1978,Oil,Consumption,299.669,EJ,OWID,
Argentina,ARG,1979,Oil,Consumption,320.921,EJ,OWID,
Argentina,ARG,1980,Oil,Consumption,298.281,EJ,OWID,
Argentina,ARG,1981,Oil,Consumption,279.431,EJ,OWID,
Argentina,ARG,1982,Oil,Consumption,268.861,EJ,OWID,
Argentina,ARG,1983,Oil,Consumption,273.417,EJ,OWID,
Argentina,ARG,1984,Oil,Consumption,260.503,EJ,OWID,
Argentina,ARG,1985,Oil,Consumption,241.98,EJ,OWID,
Argentina,ARG,1986,Oil,Consumption,250.569,EJ,OWID,
Argentina,ARG,1987,Oil,Consumption,267.403,EJ,OWID,
Argentina,ARG,1988,Oil,Consumption,269.005,EJ,OWID,
Argentina,ARG,1989,Oil,Consumption,247.02,EJ,OWID,
Argentina,ARG,1990,Oil,Consumption,230.577,EJ,OWID,
Argentina,ARG,1991,Oil,Consumption,241.395,EJ,OWID,
Argentina,ARG,1992,Oil,Consumption,253.736,EJ,OWID,
Argentina,ARG,1993,Oil,Consumption,248.768,EJ,OWID,
Argentina,ARG,1994,Oil,Consumption,263.911,EJ,OWID,
Argentina,ARG,1995,Oil,Consumption,261.959,EJ,OWID,
Argentina,ARG,1996,Oil,Consumption,261.8,EJ,OWID,
Argentina,ARG,1997,Oil,Consumption,279.526,EJ,OWID,
Argentina,ARG,1998,Oil,Consumption,289.117,EJ,OWID,
Argentina,ARG,1999,Oil,Consumption,296.589,EJ,OWID,
Argentina,ARG,2000,Oil,Consumption,269.796,EJ,OWID,
Argentina,ARG,2001,Oil,Consumption,250.165,EJ,OWID,
Argentina,ARG,2002,Oil,Consumption,236.546,EJ,OWID,
Argentina,ARG,2003,Oil,Consumption,240.754,EJ,OWID,
Argentina,ARG,2004,Oil,Consumption,261.026,EJ,OWID,
Argentina,ARG,2005,Oil,Consumption,272.524,EJ,OWID,
Argentina,ARG,2006,Oil,Consumption,286.841,EJ,OWID,
Argentina,ARG,2007,Oil,Consumption,316.039,EJ,OWID,
Argentina,ARG,2008,Oil,Consumption,318.089,EJ,OWID,
Argentina,ARG,2009,Oil,Consumption,301.671,EJ,OWID,
Argentina,ARG,2010,Oil,Consumption,325.734,EJ,OWID,
Argentina,ARG,2011,Oil,Consumption,338.197,EJ,OWID,
Argentina,ARG,2012,Oil,Consumption,360.937,EJ,OWID,
Argentina,ARG,2013,Oil,Consumption,410.63,EJ,OWID,
Argentina,ARG,2014,Oil,Consumption,393.066,EJ,OWID,
Argentina,ARG,2015,Oil,Consumption,400.862,EJ,OWID,
Argentina,ARG,2016,Oil,Consumption,389.203,EJ,OWID,
Argentina,ARG,2017,Oil,Consumption,377.068,EJ,OWID,
Argentina,ARG,2018,Oil,Consumption,356.335,EJ,OWID,
Argentina,ARG,2019,Oil,Consumption,320.132,EJ,OWID,
Argentina,ARG,2020,Oil,Consumption,282.339,EJ,OWID,
Argentina,ARG,2021,Oil,Consumption,340.616,EJ,OWID,
Argentina,ARG,2022,Oil,Consumption,383.512,EJ,OWID,
Argentina,ARG,2023,Oil,Consumption,370.755,EJ,OWID,
Argentina,ARG,2024,Oil,Consumption,339.032,EJ,OWID,
Australia,AUS,1965,Oil,Consumption,200.019,EJ,OWID,
Australia,AUS,1966,Oil,Consumption,214.048,EJ,OWID,
Australia,AUS,1967,Oil,Consumption,234.388,EJ,OWID,
Australia,AUS,1968,Oil,Consumption,255.285,EJ,OWID,
Australia,AUS,1969,Oil,Consumption,262.448,EJ,OWID,
Australia,AUS,1970,Oil,Consumption,290.195,EJ,OWID,
Australia,AUS,1971,Oil,Consumption,305.545,EJ,OWID,
