Report generated on: 01-12-2026 09:40:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","dry natural gas production (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-WORL-BCF.A","    World","53360.742307","54740.061","54563.957","55146.063","60028.777","62304.44316261","63588.3623","66582.381","69840.421","72169.6529225","73379.44702","74634.62694736337","74880.58653541739","76205.921611","76842.04706","77966.43192696657","80175.84430441834","80299.42314","81734.669949","83641.931903","86770.33116234097","88406.83066115186","90343.66296723617","93140.67591026927","95444.40383368664","98597.41937911938","102382.62627175245","104846.15421672765","108191.732587208","106089.956325982","113777.506173146","117853.31967098","120377.67787419794","121668.824017834","123599.381013353","125856.78291243063","127403.85597868748","132256.8642339968","138668.481403868","142851.865204642","139250.096556283","145033.897924356","145906.156645675","146255.756207894"
"INTL.26-1-AFG-BCF.A","        Afghanistan","60","79","81","85","85","105","105","99","106","104","104","11","10.5945","10.5945","10.59","7.06","8.12245","8.12245","8.12245","8.12245","8.12245","1.76575","1.76575","0.7063","0.7063","0.7063","0.7063","1.4126","1.76575","1.05945","5.01115593","5.69979258","5.66094641","5.45612115","5.01115593","5.16300914","5.83751991","5.51262467","5.41021204","4.54500189","2.83223894","NA","NA","NA"
"INTL.26-1-ALB-BCF.A","        Albania","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.515804683","2.752030114","1.967931188","2.082494209","1.787730207","1.764907654"
"INTL.26-1-DZA-BCF.A","        Algeria","411","772","942","1314","1360","1360","1330","1525","1635","1709","1787","1933","1970.577","1902.066","1806.72","2051.8","2194.12095","2433.2035","2604.48125","2875.70045","2939.6206","2787.0598","2798.71375","2849.9205","2830.49725","3151.334025","3079.468","2995.665505","3054.924075","2875.55919","2988.00215","2922.916605","3053.12301","2812.76912","2941.562925","2932.5576","3312.0140515","3364.615825","3397.494297","3144.731764","2977.700817","3682.437743","3561.57329","3704.382159"
"INTL.26-1-ASM-BCF.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-AGO-BCF.A","        Angola","9.2","8.8","10","12","12","13","14","16","18","15","19","20","20.12955","19.7764","18.36","19.7764","19.7764","20.12955","20.4827","19.7764","20.12955","18.71695","21.8953","22.95475","26.48625","22.95475","24.0142","29.31145","24.0142","24.36735","25.92121","26.55688","26.8394","32.666375","25.815265","27.298495","60.494313","203.8526","228.10403","238.9996","261.84515","209.12465","194.71438","211.338911"
"INTL.26-1-ATA-BCF.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ATG-BCF.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ARG-BCF.A","        Argentina","280","346","399","445","494","500","547","527","632","720","630.02","703.83","709.48","759.983","786.46","883.23","938.31955","966.9247","1044.97085","1220.83955","1321.13415","1311.5991","1275.22465","1449.3276","1584.9372","1611.42345","1628.0215","1583.17145","1555.9789","1460.69903","1416.1315","1369.16255","1329.2566","1255.8014","1253.6825","1285.466","1386.6779302","1444.8765558","1481.61671","1544.098794","1416.247161","1427.612042","1555.065468","1542.888754"
